ROYAL MAIL,RMG LN Equity
ANTOFAGASTA PLC,ANTO LN Equity
ANGLO AMER PLC,AAL LN Equity
BABCOCK INTL GRP,BAB LN Equity
HARGREAVES LANSD,HL/ LN Equity
G4S PLC,GFS LN Equity
ITV PLC,ITV LN Equity
BT GROUP PLC,BT/A LN Equity
ADMIRAL GROUP,ADM LN Equity
NEXT PLC,NXT LN Equity
MARKS & SPENCER,MKS LN Equity
WOLSELEY PLC,WOS LN Equity
RIO TINTO PLC,RIO LN Equity
SMITHS GRP PLC,SMIN LN Equity
BAE SYSTEMS PLC,BA/ LN Equity
PEARSON PLC,PSON LN Equity
LLOYDS BANKING,LLOY LN Equity
INTU PROPERTIES,INTU LN Equity
RANDGOLD RES LTD,RRS LN Equity
HSBC HLDGS PLC,HSBA LN Equity
DIRECT LINE INSU,DLG LN Equity
ASSOC BRIT FOODS,ABF LN Equity
ROLLS-ROYCE HOLD,RR/ LN Equity
BURBERRY GROUP,BRBY LN Equity
LAND SECURITIES,LAND LN Equity
ST JAMES'S PLACE,STJ LN Equity
BRIT LAND CO PLC,BLND LN Equity
UNITED UTILITIES,UU/ LN Equity
RSA INSURANCE G,RSA LN Equity
IMI PLC,IMI LN Equity
INTL CONS AIRLIN,IAG LN Equity
INTERCONTINENTAL,IHG LN Equity
GLAXOSMITHKLINE,GSK LN Equity
SMITH & NEPHEW,SN/ LN Equity
COMPASS GROUP,CPG LN Equity
TULLOW OIL,TLW LN Equity
TUI TRAVEL PLC,TT/ LN Equity
FRIENDS LIFE GRO,FLG LN Equity
FRESNILLO PLC,FRES LN Equity
STANDARD LIFE,SL/ LN Equity
EASYJET PLC,EZJ LN Equity
LONDON STOCK EX,LSE LN Equity
SABMILLER PLC,SAB LN Equity
PERSIMMON,PSN LN Equity
PRUDENTIAL PLC,PRU LN Equity
TRAVIS PERKINS,TPK LN Equity
OLD MUTUAL PLC,OML LN Equity
REED ELSEVIER PL,REL LN Equity
TESCO PLC,TSCO LN Equity
WHITBREAD PLC,WTB LN Equity
UNILEVER PLC,ULVR LN Equity
PETROFAC LTD,PFC LN Equity
SCHRODERS PLC,SDR LN Equity
KINGFISHER PLC,KGF LN Equity
ARM HOLDINGS,ARM LN Equity
WPP PLC,WPP LN Equity
WEIR GROUP PLC,WEIR LN Equity
ASHTEAD GROUP,AHT LN Equity
INTERTEK GROUP,ITRK LN Equity
SAGE GROUP,SGE LN Equity
CRH PLC,CRH LN Equity
BHP BILLITON PLC,BLT LN Equity
DIXONS CARPHONE,DC/ LN Equity
ROYAL BK SCOTLAN,RBS LN Equity
AGGREKO PLC,AGK LN Equity
EXPERIAN PLC,EXPN LN Equity
CAPITA PLC,CPI LN Equity
3I GROUP PLC,III LN Equity
IMPERIAL TOBACCO,IMT LN Equity
SHIRE PLC,SHP LN Equity
BRITISH SKY BROA,BSY LN Equity
DIAGEO PLC,DGE LN Equity
BG GROUP PLC,BG/ LN Equity
SEVERN TRENT,SVT LN Equity
BUNZL PLC,BNZL LN Equity
HAMMERSON PLC,HMSO LN Equity
BRIT AMER TOBACC,BATS LN Equity
JOHNSON MATTHEY,JMAT LN Equity
RECKITT BENCKISE,RB/ LN Equity
SSE PLC,SSE LN Equity
COCA-COLA HBC AG,CCH LN Equity
NATIONAL GRID PL,NG/ LN Equity
LEGAL & GEN GRP,LGEN LN Equity
VODAFONE GROUP,VOD LN Equity
BARCLAYS PLC,BARC LN Equity
GKN PLC,GKN LN Equity
SPORTS DIRECT IN,SPD LN Equity
BP PLC,BP/ LN Equity
ROYAL DUTCH SH-B,RDSB LN Equity
ROYAL DUTCH SH-A,RDSA LN Equity
ABERDEEN ASSET,ADN LN Equity
CARNIVAL PLC,CCL LN Equity
SAINSBURY PLC,SBRY LN Equity
MONDI PLC,MNDI LN Equity
CENTRICA PLC,CNA LN Equity
ASTRAZENECA PLC,AZN LN Equity
GLENCORE PLC,GLEN LN Equity
AVIVA PLC,AV/ LN Equity
WM MORRISON SUP,MRW LN Equity
STANDARD CHARTER,STAN LN Equity
MEGGITT PLC,MGGT LN Equity
